utilization.gpu [%], utilization.memory [%]
1 %, 0 %
1 %, 0 %
6 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
5 %, 0 %
5 %, 0 %
10 %, 0 %
7 %, 0 %
7 %, 0 %
8 %, 0 %
8 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
6 %, 0 %
6 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
0 %, 0 %
0 %, 0 %
43 %, 11 %
56 %, 20 %
56 %, 20 %
41 %, 14 %
41 %, 14 %
81 %, 21 %
85 %, 30 %
85 %, 30 %
89 %, 38 %
89 %, 38 %
90 %, 36 %
1 %, 0 %
1 %, 0 %
65 %, 33 %
65 %, 33 %
57 %, 27 %
6 %, 0 %
6 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
72 %, 27 %
83 %, 33 %
83 %, 33 %
84 %, 30 %
84 %, 30 %
88 %, 36 %
90 %, 34 %
90 %, 34 %
26 %, 8 %
26 %, 8 %
24 %, 10 %
86 %, 44 %
86 %, 44 %
15 %, 5 %
15 %, 5 %
3 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
