utilization.gpu [%], utilization.memory [%]
1 %, 0 %
1 %, 0 %
5 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
3 %, 0 %
10 %, 0 %
10 %, 0 %
5 %, 0 %
5 %, 0 %
9 %, 0 %
11 %, 0 %
11 %, 0 %
9 %, 0 %
9 %, 0 %
4 %, 0 %
10 %, 0 %
10 %, 0 %
9 %, 0 %
9 %, 0 %
2 %, 0 %
8 %, 0 %
8 %, 0 %
69 %, 37 %
69 %, 37 %
29 %, 12 %
83 %, 37 %
83 %, 37 %
87 %, 33 %
87 %, 33 %
92 %, 42 %
92 %, 43 %
92 %, 43 %
55 %, 24 %
55 %, 24 %
0 %, 0 %
70 %, 38 %
70 %, 38 %
75 %, 40 %
75 %, 40 %
5 %, 0 %
1 %, 0 %
1 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
70 %, 35 %
70 %, 35 %
88 %, 42 %
88 %, 42 %
87 %, 35 %
93 %, 38 %
93 %, 38 %
91 %, 39 %
91 %, 39 %
91 %, 37 %
4 %, 1 %
4 %, 1 %
53 %, 30 %
53 %, 30 %
91 %, 48 %
4 %, 0 %
4 %, 0 %
3 %, 0 %
3 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
