utilization.gpu [%], utilization.memory [%]
2 %, 0 %
2 %, 0 %
5 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
3 %, 0 %
9 %, 0 %
9 %, 0 %
10 %, 0 %
10 %, 0 %
4 %, 0 %
9 %, 0 %
9 %, 0 %
8 %, 0 %
8 %, 0 %
9 %, 0 %
8 %, 0 %
8 %, 0 %
6 %, 0 %
6 %, 0 %
2 %, 0 %
41 %, 11 %
41 %, 11 %
28 %, 6 %
28 %, 6 %
52 %, 10 %
70 %, 13 %
70 %, 13 %
74 %, 17 %
74 %, 17 %
83 %, 22 %
18 %, 5 %
18 %, 5 %
51 %, 14 %
51 %, 14 %
73 %, 18 %
6 %, 0 %
6 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
59 %, 14 %
77 %, 16 %
77 %, 16 %
73 %, 13 %
73 %, 13 %
80 %, 18 %
79 %, 22 %
79 %, 22 %
0 %, 0 %
0 %, 0 %
45 %, 13 %
78 %, 19 %
78 %, 19 %
6 %, 0 %
6 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
1 %, 0 %
1 %, 0 %
